name,meeting_date,calendar_link,meeting_time,meeting_location,meeting_details,agenda,minutes,video,eComment
"Rules and Legislation Committee - CANCELLED", "12/31/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447867&GUID=7C156D24-32DD-4F74-864A-CE99400609CC", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447867&GUID=7C156D24-32DD-4F74-864A-CE99400609CC&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447867&GUID=7C156D24-32DD-4F74-864A-CE99400609CC", "None", "None", "None"
"Meeting of the Oakland City Council - CANCELLATION", "12/29/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447866&GUID=C86A8FA3-91E8-4541-8EE2-9CAA118FC508", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447866&GUID=C86A8FA3-91E8-4541-8EE2-9CAA118FC508&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447866&GUID=C86A8FA3-91E8-4541-8EE2-9CAA118FC508", "None", "None", "None"
"Rules and Legislation Committee - CANCELLED", "12/24/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447865&GUID=3A954024-C0A7-487C-9466-EA78A74CA401", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447865&GUID=3A954024-C0A7-487C-9466-EA78A74CA401&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447865&GUID=3A954024-C0A7-487C-9466-EA78A74CA401", "None", "None", "None"
"Public Safety Committee - CANCELLED", "12/22/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447864&GUID=6C78CAC3-15FD-4949-9B39-4B26D847558A", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447864&GUID=6C78CAC3-15FD-4949-9B39-4B26D847558A&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447864&GUID=6C78CAC3-15FD-4949-9B39-4B26D847558A", "None", "None", "None"
"Life Enrichment Committee - CANCELLED", "12/22/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447863&GUID=148D38F7-AC03-4B7B-A7DB-28F4E42FE020", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447863&GUID=148D38F7-AC03-4B7B-A7DB-28F4E42FE020&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447863&GUID=148D38F7-AC03-4B7B-A7DB-28F4E42FE020", "None", "None", "None"
"Community and Economic Development Committee - CANCELLED", "12/22/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447862&GUID=C65B7D0F-2A58-44AF-BC25-79707F009719", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447862&GUID=C65B7D0F-2A58-44AF-BC25-79707F009719&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447862&GUID=C65B7D0F-2A58-44AF-BC25-79707F009719", "None", "None", "None"
"Public Works Committee - CANCELLED", "12/22/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447861&GUID=ED000595-C4AD-40E7-A531-85A9857890DC", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447861&GUID=ED000595-C4AD-40E7-A531-85A9857890DC&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447861&GUID=ED000595-C4AD-40E7-A531-85A9857890DC", "None", "None", "None"
"Finance and Management Committee - CANCELLED", "12/22/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447860&GUID=836BA744-DB37-408A-9FC0-21679ECD3F62", "9:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447860&GUID=836BA744-DB37-408A-9FC0-21679ECD3F62&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447860&GUID=836BA744-DB37-408A-9FC0-21679ECD3F62", "None", "None", "None"
"Rules & Legislation Committee", "12/17/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447527&GUID=7EC71799-0DA0-44F7-BB5B-C0E8CEF61CEA", "10:45 AM", "City Council Chamber, 3rd Floor *** THIS MEETING HAS BEEN CANCELLED ***", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447527&GUID=7EC71799-0DA0-44F7-BB5B-C0E8CEF61CEA&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447527&GUID=7EC71799-0DA0-44F7-BB5B-C0E8CEF61CEA", "None", "None", "None"
"Special Public Safety Committee", "12/15/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447526&GUID=EC268FC3-73EB-4D80-B95D-0EDA57B4C905", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447526&GUID=EC268FC3-73EB-4D80-B95D-0EDA57B4C905&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447526&GUID=EC268FC3-73EB-4D80-B95D-0EDA57B4C905", "https://oakland.legistar.com/View.ashx?M=M&ID=447526&GUID=EC268FC3-73EB-4D80-B95D-0EDA57B4C905", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1891&Mode2=Video", "None"
"Special Life Enrichment Committee", "12/15/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447519&GUID=DEC05338-4D3A-45BA-9EB0-26D593F0ECAA", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447519&GUID=DEC05338-4D3A-45BA-9EB0-26D593F0ECAA&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447519&GUID=DEC05338-4D3A-45BA-9EB0-26D593F0ECAA", "https://oakland.legistar.com/View.ashx?M=M&ID=447519&GUID=DEC05338-4D3A-45BA-9EB0-26D593F0ECAA", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1890&Mode2=Video", "None"
"Special Community & Economic Development Committee", "12/15/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447511&GUID=9AD744FF-47FE-4799-AFB2-9A7FCF3D5487", "1:00 PM", "Council Chamber - 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447511&GUID=9AD744FF-47FE-4799-AFB2-9A7FCF3D5487&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447511&GUID=9AD744FF-47FE-4799-AFB2-9A7FCF3D5487", "https://oakland.legistar.com/View.ashx?M=M&ID=447511&GUID=9AD744FF-47FE-4799-AFB2-9A7FCF3D5487", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1889&Mode2=Video", "None"
"Special Public Works Committee", "12/15/2015", "https://oakland.legistar.com/View.ashx?M=IC&ID=447508&GUID=C00064B6-E3AA-4F38-A669-59CB24B6743E", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=447508&GUID=C00064B6-E3AA-4F38-A669-59CB24B6743E&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=447508&GUID=C00064B6-E3AA-4F38-A669-59CB24B6743E", "https://oakland.legistar.com/View.ashx?M=M&ID=447508&GUID=C00064B6-E3AA-4F38-A669-59CB24B6743E", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=1888&Mode2=Video", "None"
