name,meeting_date,calendar_link,meeting_time,meeting_location,meeting_details,agenda,minutes,video,eComment
"*Rules & Legislation Committee", "10/18/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=641384&GUID=12447470-3DAB-40F1-8603-6B7B25FB9C7C", "10:45 AM", "City Council Chamber, 3rd Floor", "None", "None", "None", "None", "None"
"*Rules & Legislation Committee", "10/11/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=640149&GUID=4397B65A-F623-4C4C-AE7B-C41DE8765B4B", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=640149&GUID=4397B65A-F623-4C4C-AE7B-C41DE8765B4B&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=640149&GUID=4397B65A-F623-4C4C-AE7B-C41DE8765B4B", "None", "None", "https://oakland.legistar.com/Calendar.aspx#eCommentFrame"
"*Life Enrichment Committee", "10/9/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=640145&GUID=5441A9B9-50CC-4FFC-9BD6-63B247BEDAE3", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=640145&GUID=5441A9B9-50CC-4FFC-9BD6-63B247BEDAE3&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=640145&GUID=5441A9B9-50CC-4FFC-9BD6-63B247BEDAE3", "None", "None", "https://oakland.legistar.com/Calendar.aspx#eCommentFrame"
"*Special Public Works Committee", "10/9/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=640150&GUID=D839246B-3725-4F4E-AEE8-C67A0A7E9DFD", "10:30 AM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=640150&GUID=D839246B-3725-4F4E-AEE8-C67A0A7E9DFD&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=640150&GUID=D839246B-3725-4F4E-AEE8-C67A0A7E9DFD", "None", "None", "https://oakland.legistar.com/Calendar.aspx#eCommentFrame"
"*Rules & Legislation Committee", "10/4/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=639452&GUID=D7E8F47F-29F3-4893-A2A5-BC8020A7201C", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=639452&GUID=D7E8F47F-29F3-4893-A2A5-BC8020A7201C&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=639452&GUID=D7E8F47F-29F3-4893-A2A5-BC8020A7201C", "None", "None", "https://oakland.legistar.com/Calendar.aspx#eCommentFrame"
"*Rules & Legislation Committee", "9/27/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=638522&GUID=8DA5B601-628B-4BAB-9E04-0ED1D4808199", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=638522&GUID=8DA5B601-628B-4BAB-9E04-0ED1D4808199&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=638522&GUID=8DA5B601-628B-4BAB-9E04-0ED1D4808199", "None", "https://oakland.legistar.com/Calendar.aspx#", "None"
"*Special Life Enrichment Committee", "9/25/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=638521&GUID=427DC1C6-8B0A-4415-8D56-3A1F4A543F57", "3:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=638521&GUID=427DC1C6-8B0A-4415-8D56-3A1F4A543F57&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=638521&GUID=427DC1C6-8B0A-4415-8D56-3A1F4A543F57", "None", "https://oakland.legistar.com/Calendar.aspx#", "None"
"*Public Works Committee - CANCELLED", "9/25/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=638520&GUID=E170A08F-DD17-4578-A980-737447282A53", "11:30 AM", "Sgt. Mark Dunakin Room - 1st Floor
DUE TO A LACK OF QUORUM THIS PUBLIC WORKS COMMITTEE HAS BEEN CANCELLED. THE NEXT REGULARLY SCHEDULED PUBLIC WORKS COMMITTEE MEETING WILL BE HELD ON OCTOBER 9, 2018.", "https://oakland.legistar.com/MeetingDetail.aspx?ID=638520&GUID=E170A08F-DD17-4578-A980-737447282A53&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=638520&GUID=E170A08F-DD17-4578-A980-737447282A53", "None", "None", "None"
"*Rules & Legislation Committee", "9/20/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689", "https://oakland.legistar.com/View.ashx?M=M&ID=631674&GUID=931B659B-7C53-4A90-A1D3-192666F79689", "https://oakland.legistar.com/Calendar.aspx#", "None"
"*Rules & Legislation Committee", "9/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673", "https://oakland.legistar.com/View.ashx?M=M&ID=630791&GUID=3C8DA59F-D869-4856-926F-170EFC483673", "https://oakland.legistar.com/Calendar.aspx#", "None"
