name,meeting_date,calendar_link,meeting_time,meeting_location,meeting_details,agenda,minutes,video,eComment
"Rules & Legislation Committee", "11/15/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=646235&GUID=199DF44B-FCC1-4020-A581-3EB3918D8F02", "10:45 AM", "City Council Chamber, 3rd Floor", "None", "None", "None", "None", "None"
"Public Safety Committee", "11/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=644914&GUID=F43F8F39-2CE2-4973-B955-50677E37CA68", "6:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Life Enrichment Committee", "11/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=646234&GUID=3E88ADE0-8560-4274-91B8-A471F275EBAC", "4:00 PM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Community & Economic Development Committee", "11/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=644913&GUID=2579BA85-0D07-4D9F-82D4-CD7518328E8F", "1:30 PM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Special Public Works Committee", "11/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=646233&GUID=B63BC420-0C2D-4FC6-935E-1DD82195F3F1", "11:00 AM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Special Finance & Management Committee", "11/13/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=644912&GUID=8015513B-8A24-4A88-930C-3B7AA00A66CF", "9:00 AM", "Sgt. Mark Dunakin Room - 1st Floor", "None", "None", "None", "None", "None"
"Rules & Legislation Committee", "11/8/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=644927&GUID=7CB64D07-1B80-45D5-A942-F38AA1943C17", "10:45 AM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=644927&GUID=7CB64D07-1B80-45D5-A942-F38AA1943C17&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=644927&GUID=7CB64D07-1B80-45D5-A942-F38AA1943C17", "None", "None", "https://oakland.granicusideas.com/meetings/3283-star-rules-and-legislation-committee-on-2018-11-08-10-45-am"
"Meeting of the Oakland City Council - CANCELLATION", "11/6/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=644923&GUID=2D2082F4-CA49-4725-A035-6E077DF4C3B0", "5:30 PM", "City Council Chamber, 3rd Floor CANCELLATION NOTICE The Regularly Scheduled Meeting Of The City Council Has Been Cancelled In Observance Of Election Day. The Next Scheduled Meeting Of The City Council Will Be A Special City Council Meeting Held On Tuesday, November 27, 2018 At 5:30", "https://oakland.legistar.com/MeetingDetail.aspx?ID=644923&GUID=2D2082F4-CA49-4725-A035-6E077DF4C3B0&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=644923&GUID=2D2082F4-CA49-4725-A035-6E077DF4C3B0", "None", "None", "None"
"Rules and Legislation Committee - CANCELLED", "11/1/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=643687&GUID=A48E2B05-7752-4D08-9A97-7C79BAB97A06", "10:45 AM", "City Council Chamber, 3rd Floor CANCELATION NOTICE *** THIS RULES AND LEGISLATION MEETING HAS BEEN CANCELLED. THE NEXT REGULARLY SCHEDULED MEETING OF THE RULES AND LEGISLATION COMMITTEE IS NOVEMBER 8, 2018.***", "https://oakland.legistar.com/MeetingDetail.aspx?ID=643687&GUID=A48E2B05-7752-4D08-9A97-7C79BAB97A06&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=643687&GUID=A48E2B05-7752-4D08-9A97-7C79BAB97A06", "None", "None", "https://oakland.granicusideas.com/meetings/3282-star-rules-and-legislation-committee-on-2018-11-01-10-45-am"
"Special Concurrent Meeting of the Oakland Redevelopment Successor Agency/City Council", "10/30/2018", "https://oakland.legistar.com/View.ashx?M=IC&ID=643699&GUID=7FDFC736-675D-4E93-B4D0-94E596EA2D64", "5:30 PM", "City Council Chamber, 3rd Floor", "https://oakland.legistar.com/MeetingDetail.aspx?ID=643699&GUID=7FDFC736-675D-4E93-B4D0-94E596EA2D64&Options=info&Search=", "https://oakland.legistar.com/View.ashx?M=A&ID=643699&GUID=7FDFC736-675D-4E93-B4D0-94E596EA2D64", "None", "https://oakland.legistar.com/Video.aspx?Mode=Granicus&ID1=2920&Mode2=Video", "None"
